LED01,LED02,LED03,LED04,LED05,LED06,LED07,LED08,LED09,LED10,LED11,LED12,Resolution,nLoop
50,50,50,50,50,50,50,50,50,50,50,50,20000.0,1000.0
50,50,50,50,50,50,50,50,50,50,50,50,20000.0,1000.0
50,50,50,50,50,50,50,50,50,50,50,50,20000.0,1000.0
50,50,50,50,50,50,50,50,50,50,50,50,20000.0,1000.0
51,51,51,51,51,51,51,51,51,51,51,51,20000.0,1000.0
51,51,51,51,51,51,51,51,51,51,51,51,20000.0,1000.0
51,51,51,51,51,51,51,51,51,51,51,51,20000.0,1000.0
52,52,52,52,52,52,52,52,52,52,52,52,20000.0,1000.0
52,52,52,52,52,52,52,52,52,52,52,52,20000.0,1000.0
53,53,53,53,53,53,53,53,53,53,53,53,20000.0,1000.0
53,53,53,53,53,53,53,53,53,53,53,53,20000.0,1000.0
54,54,54,54,54,54,54,54,54,54,54,54,20000.0,1000.0
55,55,55,55,55,55,55,55,55,55,55,55,20000.0,1000.0
55,55,55,55,55,55,55,55,55,55,55,55,20000.0,1000.0
56,56,56,56,56,56,56,56,56,56,56,56,20000.0,1000.0
57,57,57,57,57,57,57,57,57,57,57,57,20000.0,1000.0
58,58,58,58,58,58,58,58,58,58,58,58,20000.0,1000.0
59,59,59,59,59,59,59,59,59,59,59,59,20000.0,1000.0
60,60,60,60,60,60,60,60,60,60,60,60,20000.0,1000.0
61,61,61,61,61,61,61,61,61,61,61,61,20000.0,1000.0
62,62,62,62,62,62,62,62,62,62,62,62,20000.0,1000.0
64,64,64,64,64,64,64,64,64,64,64,64,20000.0,1000.0
65,65,65,65,65,65,65,65,65,65,65,65,20000.0,1000.0
66,66,66,66,66,66,66,66,66,66,66,66,20000.0,1000.0
68,68,68,68,68,68,68,68,68,68,68,68,20000.0,1000.0
69,69,69,69,69,69,69,69,69,69,69,69,20000.0,1000.0
71,71,71,71,71,71,71,71,71,71,71,71,20000.0,1000.0
72,72,72,72,72,72,72,72,72,72,72,72,20000.0,1000.0
74,74,74,74,74,74,74,74,74,74,74,74,20000.0,1000.0
75,75,75,75,75,75,75,75,75,75,75,75,20000.0,1000.0
77,77,77,77,77,77,77,77,77,77,77,77,20000.0,1000.0
78,78,78,78,78,78,78,78,78,78,78,78,20000.0,1000.0
80,80,80,80,80,80,80,80,80,80,80,80,20000.0,1000.0
82,82,82,82,82,82,82,82,82,82,82,82,20000.0,1000.0
83,83,83,83,83,83,83,83,83,83,83,83,20000.0,1000.0
85,85,85,85,85,85,85,85,85,85,85,85,20000.0,1000.0
86,86,86,86,86,86,86,86,86,86,86,86,20000.0,1000.0
88,88,88,88,88,88,88,88,88,88,88,88,20000.0,1000.0
89,89,89,89,89,89,89,89,89,89,89,89,20000.0,1000.0
91,91,91,91,91,91,91,91,91,91,91,91,20000.0,1000.0
92,92,92,92,92,92,92,92,92,92,92,92,20000.0,1000.0
94,94,94,94,94,94,94,94,94,94,94,94,20000.0,1000.0
95,95,95,95,95,95,95,95,95,95,95,95,20000.0,1000.0
96,96,96,96,96,96,96,96,96,96,96,96,20000.0,1000.0
97,97,97,97,97,97,97,97,97,97,97,97,20000.0,1000.0
98,98,98,98,98,98,98,98,98,98,98,98,20000.0,1000.0
99,99,99,99,99,99,99,99,99,99,99,99,20000.0,1000.0
99,99,99,99,99,99,99,99,99,99,99,99,20000.0,1000.0
100,100,100,100,100,100,100,100,100,100,100,100,20000.0,1000.0
100,100,100,100,100,100,100,100,100,100,100,100,20000.0,1000.0
100,100,100,100,100,100,100,100,100,100,100,100,20000.0,1000.0
100,100,100,100,100,100,100,100,100,100,100,100,20000.0,1000.0
100,100,100,100,100,100,100,100,100,100,100,100,20000.0,1000.0
99,99,99,99,99,99,99,99,99,99,99,99,20000.0,1000.0
98,98,98,98,98,98,98,98,98,98,98,98,20000.0,1000.0
97,97,97,97,97,97,97,97,97,97,97,97,20000.0,1000.0
96,96,96,96,96,96,96,96,96,96,96,96,20000.0,1000.0
94,94,94,94,94,94,94,94,94,94,94,94,20000.0,1000.0
93,93,93,93,93,93,93,93,93,93,93,93,20000.0,1000.0
91,91,91,91,91,91,91,91,91,91,91,91,20000.0,1000.0
88,88,88,88,88,88,88,88,88,88,88,88,20000.0,1000.0
86,86,86,86,86,86,86,86,86,86,86,86,20000.0,1000.0
83,83,83,83,83,83,83,83,83,83,83,83,20000.0,1000.0
80,80,80,80,80,80,80,80,80,80,80,80,20000.0,1000.0
77,77,77,77,77,77,77,77,77,77,77,77,20000.0,1000.0
73,73,73,73,73,73,73,73,73,73,73,73,20000.0,1000.0
69,69,69,69,69,69,69,69,69,69,69,69,20000.0,1000.0
66,66,66,66,66,66,66,66,66,66,66,66,20000.0,1000.0
61,61,61,61,61,61,61,61,61,61,61,61,20000.0,1000.0
57,57,57,57,57,57,57,57,57,57,57,57,20000.0,1000.0
53,53,53,53,53,53,53,53,53,53,53,53,20000.0,1000.0
48,48,48,48,48,48,48,48,48,48,48,48,20000.0,1000.0
44,44,44,44,44,44,44,44,44,44,44,44,20000.0,1000.0
39,39,39,39,39,39,39,39,39,39,39,39,20000.0,1000.0
35,35,35,35,35,35,35,35,35,35,35,35,20000.0,1000.0
31,31,31,31,31,31,31,31,31,31,31,31,20000.0,1000.0
