LED01,LED02,LED03,LED04,LED05,LED06,LED07,LED08,LED09,LED10,LED11,LED12,Resolution,nLoop
100,0,0,0,100,0,0,0,100,0,0,0,78000.0,3000.0
0,0,0,0,0,0,0,0,0,0,0,0,78000.0,3000.0
0,0,0,100,0,0,0,100,0,0,0,100,78000.0,3000.0
100,0,0,0,100,0,0,0,100,0,0,0,78000.0,3000.0
0,0,0,100,0,0,0,100,0,0,0,100,78000.0,3000.0
0,0,100,0,0,0,100,0,0,0,100,0,78000.0,3000.0
0,0,100,0,0,0,100,0,0,0,100,0,78000.0,3000.0
100,0,100,100,100,0,100,100,100,0,100,100,78000.0,3000.0
0,0,0,0,0,0,0,0,0,0,0,0,78000.0,3000.0
0,0,100,0,0,0,100,0,0,0,100,0,78000.0,3000.0
100,0,100,0,100,0,100,0,100,0,100,0,78000.0,3000.0
100,100,100,100,100,100,100,100,100,100,100,100,78000.0,3000.0
100,0,100,100,100,0,100,100,100,0,100,100,78000.0,3000.0
100,0,0,100,100,0,0,100,100,0,0,100,78000.0,3000.0
100,100,100,100,100,100,100,100,100,100,100,100,78000.0,3000.0
100,0,100,0,100,0,100,0,100,0,100,0,78000.0,3000.0
100,100,100,100,100,100,100,100,100,100,100,100,78000.0,3000.0
0,100,100,0,0,100,100,0,0,100,100,0,78000.0,3000.0
0,0,100,0,0,0,100,0,0,0,100,0,78000.0,3000.0
0,0,100,100,0,0,100,100,0,0,100,100,78000.0,3000.0
100,0,100,0,100,0,100,0,100,0,100,0,78000.0,3000.0
100,0,0,100,100,0,0,100,100,0,0,100,78000.0,3000.0
100,100,100,100,100,100,100,100,100,100,100,100,78000.0,3000.0
0,0,100,0,0,0,100,0,0,0,100,0,78000.0,3000.0
100,100,0,100,100,100,0,100,100,100,0,100,78000.0,3000.0
100,0,0,0,100,0,0,0,100,0,0,0,78000.0,3000.0
100,0,0,0,100,0,0,0,100,0,0,0,78000.0,3000.0
0,100,0,0,0,100,0,0,0,100,0,0,78000.0,3000.0
0,0,0,0,0,0,0,0,0,0,0,0,78000.0,3000.0
100,0,100,100,100,0,100,100,100,0,100,100,78000.0,3000.0
0,100,100,0,0,100,100,0,0,100,100,0,78000.0,3000.0
0,0,0,100,0,0,0,100,0,0,0,100,78000.0,3000.0
0,0,100,0,0,0,100,0,0,0,100,0,78000.0,3000.0
0,100,0,0,0,100,0,0,0,100,0,0,78000.0,3000.0
100,0,0,0,100,0,0,0,100,0,0,0,78000.0,3000.0
100,100,100,0,100,100,100,0,100,100,100,0,78000.0,3000.0
100,0,0,0,100,0,0,0,100,0,0,0,78000.0,3000.0
100,0,100,100,100,0,100,100,100,0,100,100,78000.0,3000.0
0,0,0,0,0,0,0,0,0,0,0,0,78000.0,3000.0
100,0,0,0,100,0,0,0,100,0,0,0,78000.0,3000.0
100,0,100,100,100,0,100,100,100,0,100,100,78000.0,3000.0
100,100,0,0,100,100,0,0,100,100,0,0,78000.0,3000.0
100,0,0,100,100,0,0,100,100,0,0,100,78000.0,3000.0
0,100,0,100,0,100,0,100,0,100,0,100,78000.0,3000.0
100,100,0,0,100,100,0,0,100,100,0,0,78000.0,3000.0
100,0,0,0,100,0,0,0,100,0,0,0,78000.0,3000.0
100,100,0,100,100,100,0,100,100,100,0,100,78000.0,3000.0
100,100,100,100,100,100,100,100,100,100,100,100,78000.0,3000.0
0,0,100,0,0,0,100,0,0,0,100,0,78000.0,3000.0
100,0,100,100,100,0,100,100,100,0,100,100,78000.0,3000.0
0,0,0,100,0,0,0,100,0,0,0,100,78000.0,3000.0
0,0,100,100,0,0,100,100,0,0,100,100,78000.0,3000.0
0,100,0,0,0,100,0,0,0,100,0,0,78000.0,3000.0
0,100,100,0,0,100,100,0,0,100,100,0,78000.0,3000.0
0,0,100,100,0,0,100,100,0,0,100,100,78000.0,3000.0
100,100,100,100,100,100,100,100,100,100,100,100,78000.0,3000.0
100,0,0,100,100,0,0,100,100,0,0,100,78000.0,3000.0
0,0,0,100,0,0,0,100,0,0,0,100,78000.0,3000.0
0,0,100,100,0,0,100,100,0,0,100,100,78000.0,3000.0
100,0,100,0,100,0,100,0,100,0,100,0,78000.0,3000.0
0,0,0,100,0,0,0,100,0,0,0,100,78000.0,3000.0
0,0,100,100,0,0,100,100,0,0,100,100,78000.0,3000.0
100,100,100,100,100,100,100,100,100,100,100,100,78000.0,3000.0
0,100,0,0,0,100,0,0,0,100,0,0,78000.0,3000.0
0,100,100,100,0,100,100,100,0,100,100,100,78000.0,3000.0
100,0,100,100,100,0,100,100,100,0,100,100,78000.0,3000.0
100,0,100,100,100,0,100,100,100,0,100,100,78000.0,3000.0
0,100,0,0,0,100,0,0,0,100,0,0,78000.0,3000.0
0,100,100,100,0,100,100,100,0,100,100,100,78000.0,3000.0
100,100,100,0,100,100,100,0,100,100,100,0,78000.0,3000.0
0,100,100,0,0,100,100,0,0,100,100,0,78000.0,3000.0
0,100,0,0,0,100,0,0,0,100,0,0,78000.0,3000.0
0,0,100,100,0,0,100,100,0,0,100,100,78000.0,3000.0
0,100,0,0,0,100,0,0,0,100,0,0,78000.0,3000.0
100,0,100,0,100,0,100,0,100,0,100,0,78000.0,3000.0
0,100,0,100,0,100,0,100,0,100,0,100,78000.0,3000.0
100,0,100,100,100,0,100,100,100,0,100,100,78000.0,3000.0
0,0,0,0,0,0,0,0,0,0,0,0,78000.0,3000.0
0,100,100,0,0,100,100,0,0,100,100,0,78000.0,3000.0
100,100,100,100,100,100,100,100,100,100,100,100,78000.0,3000.0
0,100,100,0,0,100,100,0,0,100,100,0,78000.0,3000.0
100,0,100,0,100,0,100,0,100,0,100,0,78000.0,3000.0
0,0,0,0,0,0,0,0,0,0,0,0,78000.0,3000.0
100,100,0,100,100,100,0,100,100,100,0,100,78000.0,3000.0
100,100,0,100,100,100,0,100,100,100,0,100,78000.0,3000.0
100,0,0,0,100,0,0,0,100,0,0,0,78000.0,3000.0
0,100,0,100,0,100,0,100,0,100,0,100,78000.0,3000.0
100,100,0,100,100,100,0,100,100,100,0,100,78000.0,3000.0
100,100,0,100,100,100,0,100,100,100,0,100,78000.0,3000.0
100,100,100,100,100,100,100,100,100,100,100,100,78000.0,3000.0
100,100,100,100,100,100,100,100,100,100,100,100,78000.0,3000.0
100,100,0,100,100,100,0,100,100,100,0,100,78000.0,3000.0
100,100,0,0,100,100,0,0,100,100,0,0,78000.0,3000.0
100,100,100,100,100,100,100,100,100,100,100,100,78000.0,3000.0
