LED01,LED02,LED03,LED04,Resolution,nLoop
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
0.0,0.0,0.0,0.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
100.0,100.0,100.0,100.0,5000.0,1805.0
