Designator,Mid X,Mid Y,Rotation,Layer
D1,19.0,108.21714,0.0,top
D2,34.0,108.21714,0.0,top
D3,58.42,108.09714,0.0,top
D4,43.295,108.09714,0.0,top
J1,7.74979,102.84714,90.0,top
J2,7.73618,85.34778,90.0,top
J3,87.08,44.17,90.0,top
J4,86.719669,100.125,90.0,top
J5,22.25,73.75,0.0,top
J6,9.5,8.4575,0.0,top
Q1,62.0,84.09714,180.0,top
Q2,32.55,84.09714,180.0,top
R1,36.63,70.5,0.0,top
R10,23.0,22.74,270.0,top
R2,36.51,78.5,0.0,top
R3,20.125,102.83714,270.0,top
R4,36.0,103.83714,270.0,top
R5,51.87,74.5,180.0,top
R6,58.92,88.85714,90.0,top
R7,62.92,104.33714,270.0,top
R8,44.42,104.09714,270.0,top
R9,18.0,7.38,90.0,top
SW1,27.675,110.01714,180.0,top
SW2,52.095,109.89714,180.0,top
U1,28.5,50.75,270.0,top
U2,61.46,29.38,90.0,top
U3,61.46,45.0,90.0,top
U4,61.385,60.0,90.0,top
U5,4.75,17.2075,90.0,top
